claim,evidence,label
Delhi is in debt.,"It has been captured , ransacked and rebuilt several times , particularly during the medieval period , and modern Delhi is a cluster of a number of cities spread across the metropolitan region .",REFUTES
Vincent Cassel is a person.,"Vincent Cassel -LRB- -LSB- vɛ̃sɑ̃ kasɛl -RSB- ; born Vincent Crochon , 23 November 1966 -RRB- is a French actor best known to English-speaking audiences through his film performances in Ocean 's Twelve and Ocean 's Thirteen , as well as Black Swan . French France Black Swan Black Swan (film)",SUPPORTS
A producer had a role on K-pop Star 2.,,NEI
Hotel Transylvania started production in 2013.,Hotel Transylvania is a 2012 American 3D computer-animated fantasy comedy film produced by Sony Pictures Animation for Columbia Pictures . Sony Pictures Animation Sony Pictures Animation Columbia Pictures Columbia Pictures 3D 3D film computer-animated computer-animated film fantasy fantasy film comedy film comedy film,REFUTES
Oprah continued to submit her show to the Daytime Emmy Awards until 2005.,,REFUTES
Maria Sharapova has yet to receive a suspension.,,REFUTES
Turkey started accession negotiations with Emperor Palpatine.,,NEI
Hugo Weaving is an actor.,"Hugo Wallace Weaving -LRB- born 4 April 1960 -RRB- is a Nigerian-born English-Australian film and stage actor . Nigerian Colony and Protectorate of Nigeria English-Australian English Australians English England cricket team He is best known for playing Agent Smith in The Matrix trilogy -LRB- 1999 -- 2003 -RRB- , Elrond in The Lord of the Rings -LRB- 2001 -- 2003 -RRB- and The Hobbit -LRB- 2012 -- 2014 -RRB- film trilogies , V in V for Vendetta -LRB- 2006 -RRB- , Red Skull in Captain America : The First Avenger -LRB- 2011 -RRB- and Tom Doss in Hacksaw Ridge -LRB- 2016 -RRB- . Agent Smith Agent Smith The Matrix The Matrix trilogy Elrond Elrond The Lord of the Rings The Lord of the Rings (film series) The Hobbit The Hobbit (film series) V V (comics) V for Vendetta V for Vendetta (film) Red Skull Red Skull Hacksaw Ridge Hacksaw Ridge Weaving played Anthony `` Tick '' Belrose/Mitzi Del Bra in the comedy-drama The Adventures of Priscilla , Queen of the Desert -LRB- 1994 -RRB- ; and multiple roles in the science fiction film Cloud Atlas -LRB- 2012 -RRB- . Cloud Atlas Cloud Atlas (film) His roles as a voice actor include Rex in Babe , Noah in Happy Feet and Happy Feet Two , and Megatron in the Transformers film series . voice actor voice acting Babe Babe (film) Happy Feet Happy Feet Happy Feet Two Happy Feet Two Megatron Megatron Transformers Transformers (film series) Weaving 's awards for acting include a Satellite Award , MTV Movie Award and six Australian Film Institute Awards . Satellite Award Satellite Award MTV Movie Award MTV Movie Award Australian Film Institute Awards Australian Film Institute",SUPPORTS
Bahrain is an island country.,"It is an island country consisting of a small archipelago centered around Bahrain Island , situated between the Qatar peninsula and the north eastern coast of Saudi Arabia , to which it is connected by the 25 km King Fahd Causeway . King King island country island country archipelago archipelago Bahrain Island Bahrain Island Qatar Qatar Saudi Arabia Saudi Arabia King Fahd Causeway King Fahd Causeway",SUPPORTS
The Wizard of Oz is a musical film.,"The Wizard of Oz is a 1939 American musical fantasy comedy-drama film produced by Metro-Goldwyn-Mayer , and the best-known and most commercially successful adaptation based on the 1900 novel The Wonderful Wizard of Oz by L. Frank Baum . The Wonderful Wizard of Oz The Wonderful Wizard of Oz L. Frank Baum L. Frank Baum Metro-Goldwyn-Mayer Metro-Goldwyn-Mayer musical Musical film fantasy Fantasy film comedy-drama film comedy-drama film",SUPPORTS
Baahubali 2: The Conclusion was directed by S. S. Rajamouli.,"Baahubali 2 : The Conclusion , also known by the initialism BB2 , is a 2017 Indian historical fiction film co-written and directed by S. S. Rajamouli . S. S. Rajamouli S. S. Rajamouli initialism initialism historical fiction historical fiction",SUPPORTS
Home Alone features a holiday.,,NEI
Ecuador is a democratic republic with representatives in northwestern South America.,,NEI
Mankatha grossed the second lowest opening of all time.,,REFUTES
San Francisco has a bay that connects to the Pacific Ocean.,,NEI
Katrina Kaif is an entertainer.,"Katrina Kaif -LRB- -LSB- kəˈʈriːnaː ˈkɛːf -RSB- , born Katrina Turquotte , 16 July 1983 -RRB- is a British film actress and model known for her work in Indian films . Indian films Indian cinema She followed with a series of box-office hits , but was criticised for her acting , repetitive roles and inclination to male-dominated films . male-dominated Androcentrism In addition to acting , Kaif is involved with her mother 's charity and participates in stage shows . She is guarded about her personal life , which is a subject of media scrutiny , as is her background .",SUPPORTS
Warm Leatherette was released by Russians.,"Warm Leatherette is the fourth studio album by Grace Jones , released on 9 May 1980 by Island Records . Grace Jones Grace Jones Island Island Records Warm Leatherette Warm Leatherette#Grace Jones version Island Records Island Records Island Records is a British-American record label that operates as a division of Universal Music Group -LRB- UMG -RRB- . Universal Music Group Universal Music Group record label record label division Division (business)",REFUTES
An MTV award was awarded to Ludacris.,"Throughout his career , Ludacris has won Screen Actors Guild , Critic 's Choice , MTV , and Grammy Awards . Screen Actors Guild Screen Actors Guild Awards MTV MTV Video Music Awards",SUPPORTS
Fred Savage is a thespian.,"Frederick Aaron `` Fred '' Savage -LRB- born July 9 , 1976 -RRB- is an American actor , director , and producer .",SUPPORTS
Ketogenic diet contains a lot of food.,,NEI
Many people in Azerbaijan can read.,,NEI
Suits stars a dog named Harvey Specter.,"The focal point of the show follows talented college dropout Mike Ross -LRB- Patrick J. Adams -RRB- , who initially works as a law associate for Harvey Specter -LRB- Gabriel Macht -RRB- , despite never actually attending law school . Gabriel Macht Gabriel Macht Patrick J. Adams Patrick J. Adams",REFUTES
George W. Bush's paternal grandfather is the late Prescott Bush.,"Bush responded with what became known as the Bush Doctrine : launching a `` War on Terror '' , an international military campaign that included the war in Afghanistan in 2001 and the Iraq War in 2003 . Bush Doctrine Bush Doctrine War on Terror War on Terror war in Afghanistan War in Afghanistan (2001–14) Iraq War Iraq War Prescott Sheldon Bush , Sr. -LRB- May 15 , 1895October 8 , 1972 -RRB- was an American banker and senator .",SUPPORTS
Tiffany Hwang was the second member of Girls' Generation to quit the band.,,NEI
The Voice is a competition for singing.,The Voice is an American reality television singing competition broadcast on NBC . NBC NBC,SUPPORTS
A The Silence of the Lambs character is not Clarice Starling.,"In the film , Clarice Starling , a young U.S. FBI trainee , seeks the advice of the imprisoned Dr. Lecter to apprehend another serial killer , known only as `` Buffalo Bill '' . serial killer serial killer Clarice Starling Clarice Starling FBI Federal Bureau of Investigation Buffalo Bill Buffalo Bill (character)",REFUTES
Brigitte Macron is the second wife of the President of the French Republic.,,NEI
Tony Bill spearheaded Six Weeks.,,NEI
Austria was ruled by martial law.,,NEI
Michael Jackson was killed by Dr. Oz.,,NEI
Raising Arizona had Holly Hunter in it.,,SUPPORTS
The Bold and the Beautiful has been viewed by no persons.,"The Bold and the Beautiful has also won 31 Daytime Emmy Awards , including one for Outstanding Drama Series in 2009 and again in 2010 , as well as in 2011 . Drama Drama (genre) Outstanding Drama Series Daytime Emmy Award for Outstanding Drama Series The Bold and the Beautiful -LRB- often referred to as B&B -RRB- is an American television soap opera created by William J. Bell and Lee Phillip Bell for CBS . William J. Bell William J. Bell Lee Phillip Bell Lee Phillip Bell CBS CBS television television soap opera soap opera",REFUTES
Richard Gere has no experience acting.,"Richard Tiffany Gere -LRB- -LSB- ˈɡɪər -RSB- ; born August 31 , 1949 -RRB- is an American actor and humanitarian activist . American People of the United States He began acting in the 1970s , playing a supporting role in Looking for Mr. Goodbar and a starring role in Days of Heaven . Looking for Mr. Goodbar Looking for Mr. Goodbar (film) Days of Heaven Days of Heaven He came to prominence in 1980 for his role in the film American Gigolo , which established him as a leading man and a sex symbol . American People of the United States American Gigolo American Gigolo leading man leading man sex symbol sex symbol He went on to star in several hit films , including An Officer and a Gentleman , Pretty Woman , Primal Fear , Runaway Bride , Arbitrage and Chicago , for which he won a Golden Globe Award for Best Actor and a Screen Actors Guild Award for part of the Best Cast . An Officer and a Gentleman An Officer and a Gentleman Pretty Woman Pretty Woman Primal Fear Primal Fear (film) Runaway Bride Runaway Bride (film) Arbitrage Arbitrage (film) Chicago Chicago (2002 film) Golden Globe Golden Globe Screen Actors Guild Screen Actors Guild",REFUTES
Russell Crowe portrayed John F. Nash in the biopic A Beautiful Mind.,"Crowe 's work has earned him several accolades during his career and including a star on the Hollywood Walk of Fame , three consecutive Academy Award nominations -LRB- 1999 -- 2001 -RRB- , one Golden Globe Award for Best Actor , one BAFTA , and an Academy Award . Hollywood Walk of Fame Hollywood Walk of Fame",SUPPORTS
Roman Reigns is a one-time United States Champion.,"However , Reigns ' ascendancy as a world title-chasing/holding heroic underdog has been marked by critics ' disapproval and overwhelmingly negative crowd reactions . world title Professional wrestling championship#World championships heroic Face (professional wrestling) underdog Underdog (term)",SUPPORTS
Tony Goldwyn is a German director.,"Anthony Howard Goldwyn -LRB- born May 20 , 1960 -RRB- is an American actor , producer , director and political activist .",REFUTES
The National League includes the Miami Marlins.,"The Marlins compete in Major League Baseball -LRB- MLB -RRB- as a member of the National League -LRB- NL -RRB- East division . Major League Baseball Major League Baseball National League National League East National League East Torborg 's successor , 72-year-old Jack McKeon , led them to the NL wild card berth in the postseason ; they defeated the New York Yankees four games to two in the 2003 World Series . 2003 2003 Florida Marlins season World Series World Series wild card Wild card (sports) postseason Major League Baseball postseason Jack McKeon Jack McKeon New York Yankees New York Yankees 2003 World Series 2003 World Series",SUPPORTS
Split was directed by M. Night Shymalan in 2001.,"Split is a 2016 American psychological horror-thriller film written and directed by M. Night Shyamalan . M. Night Shyamalan M. Night Shyamalan psychological horror psychological horror thriller film thriller film The film received general acclaim , with some critics labeling it a welcoming return for Shyamalan , and was a massive financial success , grossing $ 276 million worldwide on a budget of $ 9 million .",REFUTES
Alkaline Trio recorded an EP.,"The band subsequently recorded an EP , For Your Lungs Only -LRB- 1998 -RRB- , and its debut studio album , Goddamnit -LRB- 1998 -RRB- . For Your Lungs Only For Your Lungs Only Goddamnit Goddamnit",SUPPORTS
Chandni stars exclusively Peruvian producers.,,NEI
Daddy Yankee made a single called Barrio Fino.,,NEI
Monarch of the Glen is a book.,Monarch of the Glen is a British drama television series produced by Ecosse Films for BBC Scotland and broadcast on BBC One for seven series between 2000 and 2005 . BBC One BBC One British United Kingdom Ecosse Films Ecosse Films BBC Scotland BBC Scotland,REFUTES
Venus is the first planet from the center of the Solar System.,"Venus is the second planet from the Sun , orbiting it every 224.7 Earth days . Sun Sun planet planet Earth Earth",REFUTES
Boyz II Men received recognition.,"Boyz II Men continue to perform worldwide , as a trio .",SUPPORTS
Cowboy was played during Super Bowl XXXVIII.,,SUPPORTS
The United States battled in the Vietnam War to prevent the spread of communism.,"U.S. involvement escalated further following the 1964 Gulf of Tonkin incident , in which a U.S. destroyer clashed with North Vietnamese fast attack craft , which was followed by the Gulf of Tonkin Resolution , which gave the U.S. president authorization to increase U.S. military presence . Gulf of Tonkin incident Gulf of Tonkin incident North Vietnamese North Vietnamese Gulf of Tonkin Resolution Gulf of Tonkin Resolution The Vietnam War -LRB- Chiến tranh Việt Nam -RRB- , also known as the Second Indochina War , and known in Vietnam as Resistance War Against America -LRB- Kháng chiến chống Mỹ -RRB- or simply the American War , was a war that occurred in Vietnam , Laos , and Cambodia from 1 November 1955 to the fall of Saigon on 30 April 1975 . Saigon Battle of Saigon (1968) Cambodia Cambodia Laos Laos Indochina Indochina Vietnam Vietnam fall of Saigon fall of Saigon",SUPPORTS
Barbara Bush was the founder of the Barbara Bush Foundation for Family Literacy.,,SUPPORTS
Superman was created by Richard Donner.,,NEI
J.Lo (album) was released before 2001.,"It was released on January 23 , 2001 , by Epic Records . Epic Epic Records Epic Records Epic Records",REFUTES
"Seth MacFarlane criticized the lyrics for ""Everybody Needs a Best Friend.""",,REFUTES
Gabrielle Union has only ever been an author.,"Gabrielle Monique Union -LRB- born October 29 , 1972 -RRB- is an American actress . She began her career in 1990s , appearing on television sitcoms , before landing supporting roles in teen comedy films She 's All That and 10 Things I Hate About You -LRB- 1999 -RRB- . 10 Things I Hate About You 10 Things I Hate About You 10 Things I Hate About You is a 1999 American romantic comedy film directed by Gil Junger and starring Julia Stiles , Heath Ledger , Joseph Gordon-Levitt , and Larisa Oleynik . Gil Junger Gil Junger Julia Stiles Julia Stiles Heath Ledger Heath Ledger Joseph Gordon-Levitt Joseph Gordon-Levitt Larisa Oleynik Larisa Oleynik romantic comedy film romantic comedy film Her breakthrough role was in the 2000 teen comedy film Bring It On , after which she was female lead in the short-lived CBS medical drama series City of Angels later that year . Bring It On Bring It On (film) CBS CBS City of Angels City of Angels (2000 TV series) Bring It On is a 2000 American teen comedy film directed by Peyton Reed and written by Jessica Bendinger . Peyton Reed Peyton Reed Jessica Bendinger Jessica Bendinger teen Teen film comedy film comedy film Bring It On Bring It On (film series)",REFUTES
Hugh Jackman was in a film.,"Jackman has won international recognition for his roles in a variety of film genres . He is known for his long-running role as Wolverine in the X-Men film series , as well as for his lead roles in films such as the romantic-comedy fantasy Kate & Leopold -LRB- 2001 -RRB- , the action-horror film Van Helsing -LRB- 2004 -RRB- , the magic-themed drama The Prestige -LRB- 2006 -RRB- , the epic fantasy drama The Fountain -LRB- 2006 -RRB- , the epic historical romantic drama Australia -LRB- 2008 -RRB- , the film version of Les Misérables -LRB- 2012 -RRB- , and the thriller Prisoners -LRB- 2013 -RRB- . Wolverine Wolverine (character) Kate & Leopold Kate & Leopold Van Helsing Van Helsing (film) The Prestige The Prestige (film) The Fountain The Fountain Australia Australia (2008 film) Les Misérables Les Misérables (2012 film) Prisoners Prisoners (2013 film) His work in Les Misérables earned him his first Academy Award nomination for Best Actor and his first Golden Globe Award for Best Actor -- Motion Picture Musical or Comedy in 2013 . Les Misérables Les Misérables (2012 film) Academy Award Academy Award Best Actor Academy Award for Best Actor",SUPPORTS
Wyatt Earp's first wife perished shortly before their first child was to be born.,His third arrest was subject of a lengthy account in the `` Daily Transcript '' which referred to him as an `` old offender '' and nicknamed him the `` Peoria Bummer '' .,SUPPORTS
"Jack Nicholson has played the ""eternal outsider, the sardonic drifter.""","In many of his films , he has played the `` eternal outsider , the sardonic drifter , '' someone who rebels against the social structure .",SUPPORTS
Robert Wagner published his autobiography.,,SUPPORTS
The Lion King is only a play.,"The Lion King is a 1994 American animated epic musical film , produced by Walt Disney Feature Animation and released by Walt Disney Pictures . Walt Disney Pictures Walt Disney Pictures Walt Disney Feature Animation Walt Disney Animation Studios epic Epic film musical musical film It is the 32nd Disney animated feature film . Disney animated feature film List of Walt Disney Animation Studios films The film features an ensemble voice cast that includes Matthew Broderick , James Earl Jones , Jeremy Irons , Jonathan Taylor Thomas , Moira Kelly , Nathan Lane , Ernie Sabella , Rowan Atkinson , Robert Guillaume , Madge Sinclair , Whoopi Goldberg , Cheech Marin , and Jim Cummings . Jonathan Taylor Thomas Jonathan Taylor Thomas Matthew Broderick Matthew Broderick James Earl Jones James Earl Jones Jeremy Irons Jeremy Irons Moira Kelly Moira Kelly Ernie Sabella Ernie Sabella Nathan Lane Nathan Lane Robert Guillaume Robert Guillaume Rowan Atkinson Rowan Atkinson Whoopi Goldberg Whoopi Goldberg Cheech Marin Cheech Marin Jim Cummings Jim Cummings Madge Sinclair Madge Sinclair ensemble voice cast Ensemble cast",REFUTES
John Wayne Gacy Jr. was not an American citizen.,"John Wayne Gacy Jr. -LRB- March 17 , 1942 -- May 10 , 1994 -RRB- was an American serial killer and rapist . American Americans serial killer serial killer rapist rapist",REFUTES
Geraldine Chaplin has a Spain home.,,SUPPORTS
Chris Hardwick died before hosting Talking Dead.,"He currently hosts Talking Dead , an hourly aftershow on AMC , affiliated with the network 's zombie drama series The Walking Dead and Fear the Walking Dead as well as `` Talking with Chris Hardwick '' , a show in which Hardwick interviews prominent pop culture figures ; @midnight with Chris Hardwick , a nightly comedy-game show series on Comedy Central , and The Wall , a `` plinko '' inspired gameshow on NBC . pop culture popular culture Talking Dead Talking Dead aftershow aftershow AMC AMC (TV channel) The Walking Dead The Walking Dead (TV series) Fear the Walking Dead Fear the Walking Dead comedy comedy game show game show Comedy Central Comedy Central The Wall The Wall (U.S. game show) plinko plinko NBC NBC",REFUTES
Paul Bettany and Jennifer Connelly have two homes.,,NEI
Eddie Vedder is a member of the jazz band Pearl Jam.,"Eddie Vedder -LRB- born Edward Louis Severson ; December 23 , 1964 -RRB- is an American musician , singer and songwriter best known as a member of the rock band Pearl Jam , with whom he performs lead vocals and is one of three guitarists . Pearl Jam Pearl Jam rock Rock music",REFUTES
David Thewlis played Macbeth.,"Other notable performances include the films Naked -LRB- for which he won the Best Actor award at Cannes Film Festival -RRB- , Dragonheart , Kingdom of Heaven , The Boy in the Striped Pyjamas , The Theory of Everything , Black Beauty , and Macbeth -LRB- in which he played King Duncan -RRB- . Naked Naked (1993 film) Best Actor Best Actor Award (Cannes Film Festival) Cannes Film Festival Cannes Film Festival Dragonheart Dragonheart Kingdom of Heaven Kingdom of Heaven (film) The Boy in the Striped Pyjamas The Boy in the Striped Pyjamas (film) The Theory of Everything The Theory of Everything (2014 film) Black Beauty Black Beauty (1994 film) Macbeth Macbeth (2015 film) King Duncan King Duncan He is the father of two youthful sons -LRB- Malcolm and Donalbain -RRB- , and the victim of a well-plotted regicide in a power grab by his trusted captain Macbeth . Macbeth Macbeth (character) Malcolm Malcolm (Macbeth) Donalbain Donalbain (Macbeth) regicide regicide",REFUTES
Halle Berry was in the Miss USA Pageant in 1989.,,NEI
An early statement of faith for Christianity is the Torah.,"is an Abrahamic monotheistic religion based on the life and teachings of Jesus Christ , who serves as the focal point for the religion . Abrahamic Abrahamic religions monotheistic Monotheism religion religion life Life of Jesus in the New Testament teachings Ministry of Jesus Jesus Christ Jesus focal point for the religion Jesus in Christianity Christ Christ (title) It can most specifically mean the first five books -LRB- Pentateuch -RRB- of the twenty-four books of the Tanakh , and it usually includes the rabbinic commentaries -LRB- -LSB- Rabbinic literature #Meforshim , perushim -RSB- -RRB- . Tanakh Tanakh According to the Midrash , the Torah was created prior to the creation of the world , and was used as the blueprint for Creation . Midrash Midrash creation of the world Genesis creation narrative According to rabbinic tradition , all of the teachings found in the Torah , both written and oral , were given by God through the prophet Moses , some at Mount Sinai and others at the Tabernacle , and all the teachings were written down by Moses , which resulted in the Torah that exists today . God God in Judaism Moses Moses Mount Sinai Biblical Mount Sinai Tabernacle Tabernacle written down by Moses Mosaic authorship The Torah -LRB- -LSB- ˈtɔːrə , ˈtoʊrə -RSB- , `` instruction , teaching '' -RRB- is the central reference of Judaism . Judaism Judaism",REFUTES
Kristofer Hivju is a mayor.,,NEI
Martin Freeman refused the role of Lester Nygaard.,"Martin John Christopher Freeman -LRB- born 8 September 1971 -RRB- is an English actor , who became known for portraying Tim Canterbury in the original UK version of sitcom mockumentary The Office , Dr. John Watson in the British crime drama Sherlock , Bilbo Baggins in Peter Jackson 's The Hobbit film trilogy , and Lester Nygaard in the dark comedy-crime drama TV series Fargo . Sherlock Sherlock (TV series) Tim Canterbury Tim Canterbury The Office The Office (UK TV series) Dr. John Watson Dr. Watson Bilbo Baggins Bilbo Baggins Peter Jackson Peter Jackson Lester Nygaard Lester Nygaard",REFUTES
Slash exclusively sang lead in all his bands.,"After leaving Guns N ' Roses in 1996 , he co-founded the supergroup Velvet Revolver , which re-established him as a mainstream performer in the mid to late 2000s . Velvet Revolver Velvet Revolver supergroup supergroup (music) Velvet Revolver was an American hard rock supergroup consisting of former Guns N ' Roses members Slash -LRB- lead guitar -RRB- , Duff McKagan -LRB- bass , backing vocals -RRB- , and Matt Sorum -LRB- drums , backing vocals -RRB- , alongside Dave Kushner -LRB- rhythm guitar -RRB- formerly of punk band Wasted Youth . Dave Kushner Dave Kushner Duff McKagan Duff McKagan Slash Slash (musician) Matt Sorum Matt Sorum hard rock hard rock supergroup Supergroup (music) punk Hardcore punk Wasted Youth Wasted Youth (American band) Original vocalist Scott Weiland formerly of Stone Temple Pilots left the band in 2008 . Scott Weiland Scott Weiland Stone Temple Pilots Stone Temple Pilots He is best known as the lead guitarist of the American rock band Guns N ' Roses , with whom he achieved worldwide success in the late 1980s and early 1990s . The lineup , when first signed to Geffen Records in 1986 , consisted of vocalist Axl Rose , lead guitarist Slash , rhythm guitarist Izzy Stradlin , bassist Duff McKagan , and drummer Steven Adler . Duff McKagan Duff McKagan Axl Rose Axl Rose Slash Slash (musician) Geffen Geffen Records Geffen Records Geffen Records Izzy Stradlin Izzy Stradlin Steven Adler Steven Adler",REFUTES
The Shadow Line is a religion.,The Shadow Line is a seven-part British television drama miniseries produced by Company Pictures/Eight Rooks Ltd/Baby Cow/CinemaNX production for BBC Two . Company Pictures Company Pictures BBC BBC miniseries miniseries BBC Two BBC Two,REFUTES
Haitian Creole is a novel.,,NEI
The Himalayas has part of its range in Nepal.,"By contrast , the highest peak outside Asia -- Aconcagua , in the Andes -- is 6961 m tall . Asia Asia Aconcagua Aconcagua Andes Andes The international border between China -LRB- Tibet Autonomous Region -RRB- and Nepal runs across Everest 's summit point . Nepal Nepal Tibet Autonomous Region Tibet Autonomous Region China China summit point Summit Its western anchor , Nanga Parbat , lies just south of the northernmost bend of Indus river . river river Indus Indus River Nanga Parbat Nanga Parbat",SUPPORTS
Vienna is a township.,"Vienna -LRB- -LSB- viˈɛnə -RSB- Wien , -LSB- viːn -RSB- -RRB- is the capital and largest city of Austria and one of the nine states of Austria . Austria Austria states of Austria states of Austria",REFUTES
Tom Cruise stars in The Color of Money.,"One of the biggest movie stars in Hollywood , Cruise starred in several more successful films in the 1980s , including the dramas The Color of Money -LRB- 1986 -RRB- , Cocktail -LRB- 1988 -RRB- , Rain Man -LRB- 1988 -RRB- , and Born on the Fourth of July -LRB- 1989 -RRB- . The Color of Money The Color of Money Cocktail Cocktail (1988 film) Rain Man Rain Man Born on the Fourth of July Born on the Fourth of July (film) The film stars Paul Newman and Tom Cruise , with Mary Elizabeth Mastrantonio , Helen Shaver , and John Turturro in supporting roles . Paul Newman Paul Newman Tom Cruise Tom Cruise Mary Elizabeth Mastrantonio Mary Elizabeth Mastrantonio Helen Shaver Helen Shaver John Turturro John Turturro",SUPPORTS
Hawaii is not the 8th smallest state.,,REFUTES
Thandie Newton is an actress in the film Mission Impossible.,,NEI
Agatha Christie died in Germany.,,NEI
Dwayne Johnson played as a quarterback for the Canadian Football League.,,NEI
Christianity is a system of beliefs and practices.,"It is the world 's largest religion , with over 2.4 billion followers , or 33 % of the global population , known as Christians . religion religion",SUPPORTS
Priyanka Chopra is silent about gender equality.,,REFUTES
Plutonium reacts with carbon.,"It reacts with carbon , halogens , nitrogen , silicon and hydrogen . carbon carbon nitrogen nitrogen silicon silicon hydrogen hydrogen",SUPPORTS
Daddy Yankee made a work.,Daddy Yankee 's album Barrio Fino made history when it became the top selling Latin music album of the decade between 2000-2009 . Barrio Fino Barrio Fino Latin music Latin music (genre),SUPPORTS
The Academy Honorary Award is given to celebrate something.,"The Academy Honorary Award -- instituted in 1948 for the 21st Academy Awards -LRB- previously called the Special Award , which was first presented in early 1929 -RRB- -- is given annually by the Board of Governors of the Academy of Motion Picture Arts and Sciences -LRB- AMPAS -RRB- to celebrate motion picture achievements that are not covered by existing Academy Awards , although prior winners of competitive Academy Awards are not excluded from receiving the Honorary Award . 21st Academy Awards 21st Academy Awards Board of Governors Academy of Motion Picture Arts and Sciences#Current administration of the Academy Academy of Motion Picture Arts and Sciences Academy of Motion Picture Arts and Sciences Academy Awards Academy Awards",SUPPORTS
H. H. Holmes is still alive.,"Herman Webster Mudgett -LRB- May 16 , 1861 -- May 7 , 1896 -RRB- , better known under the name of Dr. Henry Howard Holmes or more commonly H. H. Holmes , was one of the first documented serial killers in the modern sense of the term . serial killers serial killers",REFUTES
The blue-ringed octopus hunts skyscrapers.,,REFUTES
"Jack Paar was born on May 1, 1918.","Jack Harold Paar -LRB- May 1 , 1918 -- January 27 , 2004 -RRB- was an American author , radio and television comedian and talk show host , best known for his stint as host of The Tonight Show from 1957 to 1962 . American United States radio radio television television comedian comedian The Tonight Show The Tonight Show",SUPPORTS
The production crew returned for Gilmore Girls: A Year in the Life.,,NEI
Einstein was a politician for about five years.,,NEI
Harry Potter is based on the Hunger Games novels.,Harry Potter is a British-American film series based on the Harry Potter novels by author J. K. Rowling . J. K. Rowling J. K. Rowling Harry Potter Harry Potter (character) film series film series,REFUTES
The Supernatural pilot premiered in 2007.,"It premiered on The WB on September 13 , 2005 , and was written by series creator Eric Kripke and directed by David Nutter . Eric Kripke Eric Kripke David Nutter David Nutter The WB The WB",REFUTES
King Kong was directed by Guillermo del Toro.,"King Kong is a 2005 epic monster adventure film co-written , produced , and directed by Peter Jackson . Peter Jackson Peter Jackson King Kong King Kong (1933 film) epic Epic film monster Monster film adventure film adventure film",REFUTES
Yusuke Murata was the illustrator of a manga.,"He is best known for illustrating the American football manga Eyeshield 21 , in collaboration with writer Riichiro Inagaki . Eyeshield 21 Eyeshield 21 American football American football Riichiro Inagaki Riichiro Inagaki Murata 's other major work is his illustration of One 's One-Punch Man , serialized in the Weekly Young Jump online version . One-Punch Man One-Punch Man One One (manga artist) Weekly Young Jump Weekly Young Jump One -LRB- stylized as ONE -RRB- is the pseudonym of a Japanese manga artist , best known for his webcomic series One-Punch Man , which was later remade as a digital manga illustrated by Yusuke Murata . pseudonym pseudonym manga artist manga artist webcomic webcomic One-Punch Man One-Punch Man digital online magazine manga manga Yusuke Murata Yusuke Murata Eyeshield 21 was serialized between July 2002 and June 2009 in Weekly Shōnen Jump , and was later adapted into an anime television series . Eyeshield 21 Eyeshield 21 Weekly Shōnen Jump Weekly Shōnen Jump anime anime is a Japanese manga series written by Riichiro Inagaki and illustrated by Yusuke Murata . Riichiro Inagaki Riichiro Inagaki Yusuke Murata Yusuke Murata manga manga",SUPPORTS
The President of the African National Congress party is a position that Nelson Mandela served.,"Ideologically an African nationalist and socialist , he served as President of the African National Congress -LRB- ANC -RRB- party from 1991 to 1997 . African National Congress African National Congress African nationalist African nationalism socialist socialism",SUPPORTS
Jerry Seinfeld created Friends.,,NEI
Star Wars: The Force Awakens is a science fiction film.,"Star Wars : The Force Awakens -LRB- also known as Star Wars : Episode VII -- The Force Awakens -RRB- is a 2015 American epic space opera film directed , co-produced , and co-written by J. J. Abrams . J. J. Abrams J. J. Abrams epic Epic film space opera film Space opera Star Wars Star Wars",REFUTES
IBM only used programming language invented by others.,,NEI
Indiana Jones was killed by George Hall.,,NEI
Easy Virtue is also the name of a novel by Stephen King.,,NEI
Nikola Tesla got a physics education.,He worked for a short time at the Edison Machine Works in New York City before he struck out on his own . New York City New York City New York New York (state) Edison Machine Works Edison Machine Works,SUPPORTS
Priyanka Chopra is an Indian singer.,"Priyanka Chopra -LRB- -LSB- prɪˈjaːŋkaː ˈtʃoːpɽaː -RSB- ; born 18 July 1982 -RRB- is an Indian actress , singer , film producer , philanthropist , and the winner of the Miss World 2000 pageant . Miss World 2000 Miss World 2000",SUPPORTS
Attack the Block stars Jodie Whittaker.,"Attack the Block is a 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring Jodie Whittaker , John Boyega , Nick Frost and Luke Treadaway . Joe Cornish Joe Cornish Jodie Whittaker Jodie Whittaker John Boyega John Boyega Luke Treadaway Luke Treadaway Nick Frost Nick Frost science fiction Science fiction film horror comedy film Horror comedy",SUPPORTS
Hilda Ellis Davidson was a teacher.,,NEI
"Tyler, The Creator is a person who raps.","Tyler Gregory Okonma -LRB- born March 6 , 1991 -RRB- , better known by his stage name Tyler , The Creator , is an American rapper , record producer , and music video director . record producer record producer music video director music video director stage name stage name",SUPPORTS
